EMPRESA;CODIGO TIENDA;TIENDA;COMUNA;ZONA;JEFE_ZONAL;UBICACION;CORREO;ROL
FASHIONS PARK;T002;COLINA;COLINA;RM_1;NATALIA TRUJILLO;MALL;j01.colina@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T003;MALL CASTRO;CASTRO;SUR_3;JUAN P. VILLANUEVA;MALL;j01.paseochiloe@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T005;MALL VIVO COQUIMBO;COQUIMBO;NORTE_2;JOCELYN CASTILLO;MALL;j01.vivocoquimbo@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T006;VILLA ALEMANA;VILLA ALEMANA;QUINTA REGION;CLAUDIA LEIVA;CALLE;j01.valemana@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T007;VILLARRICA;VILLARICA;SUR_3;JUAN P. VILLANUEVA;CALLE;j01.villarrica@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T009;PORTAL TEMUCO;TEMUCO;SUR_3;JUAN P. VILLANUEVA;MALL;j01.portal.temuco@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T010;MALL PLAZA ALAMEDA;ESTACION CENTRAL;RM_1;NATALIA TRUJILLO;MALL;j01.plazaalameda@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T011;CURICO;CURICO;SUR_1;NELSON CORNEJO;CALLE;j01cprat@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T012;AHUMADA;SANTIAGO;RM_1;NATALIA TRUJILLO;CALLE;j01.ahumada@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T013;CAUQUENES;CAUQUENES;SUR_1;NELSON CORNEJO;CALLE;j01.cauquenes@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T014;SAN VICENTE;SAN VICENTE;SUR_1;NELSON CORNEJO;CALLE;j01.sanvicente@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T015;PLAZA MAULE;TALCA;SUR_1;NELSON CORNEJO;CALLE;j01.plazamaule@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T017;MALL PASEO COSTANERA;PUERTO MONTT;SUR_3;JUAN P. VILLANUEVA;MALL;j01.paseocostanera@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T018;QUILLOTA;QUILLOTA;QUINTA REGION;CLAUDIA LEIVA;CALLE;j01quillota2@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T019;TALAGANTE;TALAGANTE;RM_3;NELSON CORNEJO;CALLE;j01talagante@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T020;ILLAPEL;ILLAPEL;NORTE_2;JOCELYN CASTILLO;MALL;j01illapel@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T022;PUENTE ALTO PLAZUELA;PUENTE ALTO;RM_2;JUAN ESCOBAR;MALL;j01palto@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T023;MALL ARAUCO CORONEL;CORONEL;SUR_2;KATHERINE ROJAS;MALL;j01coronel@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T024;CONSTITUCION;CONSTITUCION;SUR_1;NELSON CORNEJO;CALLE;j01consti@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T025;PLAZA MAIPU;MAIPU;RM_1;NATALIA TRUJILLO;CALLE;j01plazamaipu@fashionspark.com;Jefe de Tienda
FASHIONS PARK;T026;TIENDA INTERNET;CONCHALI;ECOMMERCE;CRISTIAN NARANJO;ECOMMERCE;cristian.naranjo@fashionspark.com;Jefe de Tienda
