EMAIL;ROL ;TIENDA
j01.colina@fashionspark.com;JEFE DE TIENDA;T002
j01.paseochiloe@fashionspark.com;JEFE DE TIENDA;T003
j01.vivocoquimbo@fashionspark.com;JEFE DE TIENDA;T005
j01.valemana@fashionspark.com;JEFE DE TIENDA;T006
j01.villarrica@fashionspark.com;JEFE DE TIENDA;T007
j01.portal.temuco@fashionspark.com;JEFE DE TIENDA;T009
j01.plazaalameda@fashionspark.com;JEFE DE TIENDA;T010
j01cprat@fashionspark.com;JEFE DE TIENDA;T011
j01.ahumada@fashionspark.com;JEFE DE TIENDA;T012
j01.cauquenes@fashionspark.com;JEFE DE TIENDA;T013
j01.sanvicente@fashionspark.com;JEFE DE TIENDA;T014
j01.plazamaule@fashionspark.com;JEFE DE TIENDA;T015
j01.paseocostanera@fashionspark.com;JEFE DE TIENDA;T017
j01quillota2@fashionspark.com;JEFE DE TIENDA;T018
j01talagante@fashionspark.com;JEFE DE TIENDA;T019
j01illapel@fashionspark.com;JEFE DE TIENDA;T020
j01palto@fashionspark.com;JEFE DE TIENDA;T022
j01coronel@fashionspark.com;JEFE DE TIENDA;T023
j01consti@fashionspark.com;JEFE DE TIENDA;T024
j01plazamaipu@fashionspark.com;JEFE DE TIENDA;T025
cristian.naranjo@fashionspark.com;JEFE DE TIENDA;T026
j01.penaflor@fashionspark.com;JEFE DE TIENDA;T027
j01vespu@fashionspark.com;JEFE DE TIENDA;T028
j01vivotemuco@fashionspark.com;JEFE DE TIENDA;T029
j01.sanbernardodos@fashionspark.com;JEFE DE TIENDA;T031
j01plazasur@fashionspark.com;JEFE DE TIENDA;T033
j01.sanantonio@fashionspark.com;JEFE DE TIENDA;T034
j01quilicura@fashionspark.com;JEFE DE TIENDA;T035
j01.felipe@fashionspark.com;JEFE DE TIENDA;T036
j01.coyhaique@fashionspark.com;JEFE DE TIENDA;T037
j01.plazacopiapo@fashionspark.com;JEFE DE TIENDA;T038
j01toba@fashionspark.com;JEFE DE TIENDA;T039
j01coquimbo@fashionspark.com;JEFE DE TIENDA;T040
j01.melipilla@fashionspark.com;JEFE DE TIENDA;T041
j01.antofagasta2@fashionspark.com;JEFE DE TIENDA;T042
j01oeste@fashionspark.com;JEFE DE TIENDA;T043
j01.plazanorte@fashionspark.com;JEFE DE TIENDA;T044
j01.iquique@fashionspark.com;JEFE DE TIENDA;T045
j01panamericana@fashionspark.com;JEFE DE TIENDA;T046
j01antofa@fashionspark.com;JEFE DE TIENDA;T048
j01calama@fashionspark.com;JEFE DE TIENDA;T049
j01lina@fashionspark.com;JEFE DE TIENDA;T050
j01.independencia@fashionspark.com;JEFE DE TIENDA;T051
j01.antofagasta.tres@fashionspark.com;JEFE DE TIENDA;T052
j01angel@fashionspark.com;JEFE DE TIENDA;T053
j01scruz@fashionspark.com;JEFE DE TIENDA;T054
j01.chillan.dos@fashionspark.com;JEFE DE TIENDA;T055
j01linco@fashionspark.com;JEFE DE TIENDA;T056
j01temu@fashionspark.com;JEFE DE TIENDA;T057
j01.sancarlos@fashionspark.com;JEFE DE TIENDA;T058
j01treb2@fashionspark.com;JEFE DE TIENDA;T059
j01.palto.dos@fashionspark.com;JEFE DE TIENDA;T060
j01rcgua@fashionspark.com;JEFE DE TIENDA;T061
j01.lacalera@fashionspark.com;JEFE DE TIENDA;T062
j01.anibalpinto2@fashionspark.com;JEFE DE TIENDA;T063
j01.hospicio@fashionspark.com;JEFE DE TIENDA;T064
j01berna@fashionspark.com;JEFE DE TIENDA;T065
j01.lacisterna@fashionspark.com;JEFE DE TIENDA;T066
j01.ross@fashionspark.com;JEFE DE TIENDA;T068
j01chill@fashionspark.com;JEFE DE TIENDA;T070
j01talca@fashionspark.com;JEFE DE TIENDA;T071
j01.parmas@fashionspark.com;JEFE DE TIENDA;T074
j01.sanjavier@fashionspark.com;JEFE DE TIENDA;T075
j01.paseopuente@fashionspark.com;JEFE DE TIENDA;T077
j01.angol@fashionspark.com;JEFE DE TIENDA;T078
j01.calama.dos@fashionspark.com;JEFE DE TIENDA;T079
j01.laligua@fashionspark.com;JEFE DE TIENDA;T080
j01marau@fashionspark.com;JEFE DE TIENDA;T081
j01.linarescentro@fashionspark.com;JEFE DE TIENDA;T083
j01buin2@fashionspark.com;JEFE DE TIENDA;T084
j01cop2@fashionspark.com;JEFE DE TIENDA;T085
j01maipu@fashionspark.com;JEFE DE TIENDA;T086
j01valpo@fashionspark.com;JEFE DE TIENDA;T087
j01varas@fashionspark.com;JEFE DE TIENDA;T088
j01osorn@fashionspark.com;JEFE DE TIENDA;T089
j01.pmar@fashionspark.com;JEFE DE TIENDA;T090
j01quil3@fashionspark.com;JEFE DE TIENDA;T091
j01.angeles.dos@fashionspark.com;JEFE DE TIENDA;T092
j01.buintres@fashionspark.com;JEFE DE TIENDA;T093
j01srosa@fashionspark.com;JEFE DE TIENDA;T094
j01serena@fashionspark.com;JEFE DE TIENDA;T095
j01baran2@fashionspark.com;JEFE DE TIENDA;T096
j01borja@fashionspark.com;JEFE DE TIENDA;T097
j01irarrazaval@fashionspark.com;JEFE DE TIENDA;T098
j01.valdivia@fashionspark.com;JEFE DE TIENDA;T099
j01.plazaquilpue@fashionspark.com;JEFE DE TIENDA;T104
j01.florida@fashionspark.com;JEFE DE TIENDA;T105
j01.launion@fashionspark.com;JEFE DE TIENDA;T106
j01.riobueno@fashionspark.com;JEFE DE TIENDA;T107
j01.arica.tres@fashionspark.com;JEFE DE TIENDA;T108
j01.canete.dos@fashionspark.com;JEFE DE TIENDA;T109
j01.plazaovalle@fashionspark.com;JEFE DE TIENDA;T110
j01.quilin@fashionspark.com;JEFE DE TIENDA;T111
j01.losandes@fashionspark.com;JEFE DE TIENDA;T112
j01.sanfernando@fashionspark.com;JEFE DE TIENDA;T113
j01.vivochillan@fashionspark.com;JEFE DE TIENDA;T114
j01.concepcion@fashionspark.com;JEFE DE TIENDA;T115
j01.villarrica.dos@fashionspark.com;JEFE DE TIENDA;T116
j01.puntaarenas@fashionspark.com;JEFE DE TIENDA;T118
j01.huerfanos@fashionspark.com;JEFE DE TIENDA;T119
j01.rengo@fashionspark.com;JEFE DE TIENDA;T120
j01.illapelcentro@fashionspark.com;JEFE DE TIENDA;T121
hc.pmar@hollyconcept.com;JEFE DE TIENDA;H002
hc.ross@hollyconcept.com;JEFE DE TIENDA;H003
hc.palameda@hollyconcept.com;JEFE DE TIENDA;H004
hc.poeste@hollyconcept.com;JEFE DE TIENDA;H005
hc.ptobalaba@hollyconcept.com;JEFE DE TIENDA;H006
hc.pegana@hollyconcept.com;JEFE DE TIENDA;H007
hc.pcopiapo@hollyconcept.com;JEFE DE TIENDA;H008
hc.psur@hollyconcept.com;JEFE DE TIENDA;H009
hc.pvespucio@hollyconcept.com;JEFE DE TIENDA;H010
hc.pnorte@hollyconcept.com;JEFE DE TIENDA;H011
hc.ptrebol@hollyconcept.com;JEFE DE TIENDA;H012
hc.marauco@hollyconcept.com;JEFE DE TIENDA;H013
hc.pmaule@hollyconcept.com;JEFE DE TIENDA;H014
hc.florida@hollyconcept.com;JEFE DE TIENDA;H015
cristian.naranjo@fashionspark.com;JEFE DE TIENDA;H026
camilavidela32@gmail.com;JEFE DE TIENDA;C002
rvidela35@hotmail.com;JEFE DE TIENDA;C001
